order_id,reviewer_id,review_status,review_class,route_correct,major_error,minor_error,wrong_road_level,wrong_direction,wrong_parallel_road,wrong_bridge_or_tunnel,unreasonable_detour,od_endpoint_error,data_limitation,comments
3825af03bd4a3fad1d05bcf2a300b0db,,pending,,,,,,,,,,,,
17d56ee3a44bd099db0a25ab12c937d7,,pending,,,,,,,,,,,,
f3bb07f408bb7f528dbb2a044c89ace3,,pending,,,,,,,,,,,,
2d7f714a165e3319c98f17cf564b39f7,,pending,,,,,,,,,,,,
11ba49e39c5e2e037798b9e47698fb19,,pending,,,,,,,,,,,,
6d89c5ebd85170a57fa67a981f6e8ee3,,pending,,,,,,,,,,,,
c46b225ca2238ebc81cdb341de1265f7,,pending,,,,,,,,,,,,
bc48386b542e683f43f5e6f060c5050b,,pending,,,,,,,,,,,,
5f34d901a5780096e6ea22f1f14395be,,pending,,,,,,,,,,,,
d39141f35d9abee6642a7fcefe59ff94,,pending,,,,,,,,,,,,
850cc86d69cc85ee1d4fc87e253f2fa4,,pending,,,,,,,,,,,,
e72c7be5121693f7b4b172920e643b7e,,pending,,,,,,,,,,,,
d01ea7d21372f203e07564641d176437,,pending,,,,,,,,,,,,
7c3b4c2ba1808262e49cd0ac22da0ea5,,pending,,,,,,,,,,,,
769e5a709276506d0049e747b40d57a4,,pending,,,,,,,,,,,,
c9d0f0509e0eac0a845d94ef20a45e6f,,pending,,,,,,,,,,,,
2b04a48080aeb7562f82c3b12506e121,,pending,,,,,,,,,,,,
102af2cc22564729f5b961dd66065144,,pending,,,,,,,,,,,,
07f7ad5820c69d911c5e528209a553d2,,pending,,,,,,,,,,,,
630272268c1fd12dc8e1651abee86645,,pending,,,,,,,,,,,,
86bff581dc3cf0840e4f39df74333ec6,,pending,,,,,,,,,,,,
6538bed3cf2fef85dfb08fa1bc0832d4,,pending,,,,,,,,,,,,
4d61c2c8a6cb09f11efc1c1b9e8bcbaa,,pending,,,,,,,,,,,,
fc516924020190732d975293385de516,,pending,,,,,,,,,,,,
550bd39fd71ba451dcb616c335b1b0fa,,pending,,,,,,,,,,,,
ec50004ef19d12c2f7ef46f47869dde5,,pending,,,,,,,,,,,,
52611fa6a192fb2be409755e204ccfbc,,pending,,,,,,,,,,,,
c4c37c3822a358299e42b4e37f7716e2,,pending,,,,,,,,,,,,
ec368cb86595a402a79c6910a8c797ee,,pending,,,,,,,,,,,,
50e38eca856e1376251193347bef4d77,,pending,,,,,,,,,,,,
4dfbe5f185f33eaf3b3fff8a5fb3498a,,pending,,,,,,,,,,,,
4831598be9240b8b6f20fbe0bb22c146,,pending,,,,,,,,,,,,
d5f19106b2cc90cc7d44ea835e630d52,,pending,,,,,,,,,,,,
01ff1891e41623c8f5bd8b27ad8fdb51,,pending,,,,,,,,,,,,
339995114504e547e4d8b342986506ef,,pending,,,,,,,,,,,,
c46dcbe1a5daeca6948405c1d79b7ff5,,pending,,,,,,,,,,,,
130c903f8813b1a519ce54c07c654dd8,,pending,,,,,,,,,,,,
9fc8b1c0ce68b371c8e7e05ef6329630,,pending,,,,,,,,,,,,
55eb72223e03ad9fcca53889ab473388,,pending,,,,,,,,,,,,
46cd117216b37e87b43e8596622a871b,,pending,,,,,,,,,,,,
