order_id,reviewer_id,review_status,route_correct,major_error,minor_error,wrong_road_level,wrong_direction,wrong_parallel_road,wrong_bridge_or_tunnel,unreasonable_detour,od_endpoint_error,comments
1b2d51b71804bca1b7e7515129a515eb,,pending,,,,,,,,,,
9bc0ab25f4a2955081ed7f4bbb81bb14,,pending,,,,,,,,,,
85a03c836320bb41e90426c28ce48b12,,pending,,,,,,,,,,
8c508be2fc8408c3c052f3ab75d71bbb,,pending,,,,,,,,,,
dedff5031ab3cedbc4c9722dd1830412,,pending,,,,,,,,,,
98b660bf9455e23a040a462bfa4fa31c,,pending,,,,,,,,,,
9d777290625b363e645d2da5227306a7,,pending,,,,,,,,,,
ce3654ab0ebf3c02c32716e681b77cf8,,pending,,,,,,,,,,
cdf37637a9d9164231b9ef04678c2496,,pending,,,,,,,,,,
80342a0a80c8096ddc8bdb3100c9939c,,pending,,,,,,,,,,
b8ae5a2a664f4e08385d8b0e303e162d,,pending,,,,,,,,,,
4e353a4bacfa82026dae28dcb3fc2ecb,,pending,,,,,,,,,,
ae7d434e48b92ecb913b0b2e35861fdb,,pending,,,,,,,,,,
07f7ad5820c69d911c5e528209a553d2,,pending,,,,,,,,,,
b43bcb23f5b3ca1da4c14399f2871354,,pending,,,,,,,,,,
214793d3a00ba7fe7366a6954a22dd70,,pending,,,,,,,,,,
5ca688007c410ccdb0a8d2de7237390c,,pending,,,,,,,,,,
bc08600b7260083a0916809f49241803,,pending,,,,,,,,,,
7a093b763dd5947a840d5982ee097baa,,pending,,,,,,,,,,
0141c23927ff125001a2bd3d3efe111b,,pending,,,,,,,,,,
3de002a0057de86af2be0dbd37091e98,,pending,,,,,,,,,,
d8c2a0307ac6384d365fd575ab855b23,,pending,,,,,,,,,,
2bac3699eda425049864e58790e0f5fc,,pending,,,,,,,,,,
5e0577c765098ccc1c47bf28df61acdd,,pending,,,,,,,,,,
1f4c70629ba8d9d84610be534ce89ea7,,pending,,,,,,,,,,
d44ea808bba2dd3794aaf570b27f61cd,,pending,,,,,,,,,,
4bbbe5deecfe127781fc23db5dcac0bf,,pending,,,,,,,,,,
98bddcfb847ace49880748dd93a67466,,pending,,,,,,,,,,
46ef3a3287c428e2241ed20ec8d1ba24,,pending,,,,,,,,,,
d159476bcf6786e59572ab105fc29a21,,pending,,,,,,,,,,
298bd17df665f7b2a1cabb6525ba5752,,pending,,,,,,,,,,
059540f81f8eeb432454a57151afd01a,,pending,,,,,,,,,,
79d64f2b408f4cea9083d9a5d2abb389,,pending,,,,,,,,,,
bb95c195db188c1588144c0ab1042810,,pending,,,,,,,,,,
00899cf426d68e2dc302138b004c858c,,pending,,,,,,,,,,
1cf0ab86e7d93158f00c420f3c330015,,pending,,,,,,,,,,
fa6b71dd3617a2dc91b0824901c4c95e,,pending,,,,,,,,,,
4d61c2c8a6cb09f11efc1c1b9e8bcbaa,,pending,,,,,,,,,,
76242331efc4b008f62d8903f9aff2ee,,pending,,,,,,,,,,
5fdb8812e282e40cb32e968b5c64dc0c,,pending,,,,,,,,,,
dad7ca99bee8258d0e51604d76cfb4e2,,pending,,,,,,,,,,
5ba75dae3408ca88478c3a3652831e5d,,pending,,,,,,,,,,
3825af03bd4a3fad1d05bcf2a300b0db,,pending,,,,,,,,,,
d36030ea0fa61b3efa67d09cbc73342b,,pending,,,,,,,,,,
3d7e65b99a9097669b30e60848daed8d,,pending,,,,,,,,,,
6b18f54cef0174e080bf9cdf895db1d9,,pending,,,,,,,,,,
7fcaf14d8bc250c09386d45edbb77a04,,pending,,,,,,,,,,
f82763b1f74c21db32e6e2f365f1da81,,pending,,,,,,,,,,
8cb570e0a0ac54b2e8dc04fcd3033478,,pending,,,,,,,,,,
22c8fa1a9b156b6ba424af39e3b34e22,,pending,,,,,,,,,,
09356d94897ec3fa241759994098e8ba,,pending,,,,,,,,,,
9a14bb93577c73c33090630eb9914424,,pending,,,,,,,,,,
b1469535eb368854fe55840fadc2cba4,,pending,,,,,,,,,,
fd3637ddac0948c2dc852c0269a8af39,,pending,,,,,,,,,,
cfe4afde1813786e3fa451359b4e7436,,pending,,,,,,,,,,
ae0e5a398ce1903254937d432003d194,,pending,,,,,,,,,,
a0754fa811c6a83ad72949b63ef8add7,,pending,,,,,,,,,,
0ba89eeab342b392e9741a83f7029fbc,,pending,,,,,,,,,,
c46dcbe1a5daeca6948405c1d79b7ff5,,pending,,,,,,,,,,
e8d81e7c7aec76a17d9e21587170f648,,pending,,,,,,,,,,
86cd0e315a927e189a6816b74680e6d2,,pending,,,,,,,,,,
64b960d6a11d02dce8585eaa52a3c72f,,pending,,,,,,,,,,
6d89c5ebd85170a57fa67a981f6e8ee3,,pending,,,,,,,,,,
51aabe1256cb3a1069101eb457a71dc9,,pending,,,,,,,,,,
df7505ee31920369c22a11928d21a4e2,,pending,,,,,,,,,,
c1bb3b654e1542a9ce64e35b9f02e758,,pending,,,,,,,,,,
87936c61b8a51aa948378fa1824a2c55,,pending,,,,,,,,,,
