date,order_id,transition_index,from_link_id,to_link_id,bridge_found,bridge_repairable,bridge_distance_m,bridge_link_count,bridge_node_path,bridge_reason
20161019,0a39c0cfb09e06451867270d77ce6890,36,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,0bd453e937f3462a2cdba1f29875f884,11,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,18560c9726e3423f1f46ae178311fc06,9,162540384_2635__n0,162532768_2499__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,18e5b589c40096211a03fdf11e6ab22e,23,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,18e5b589c40096211a03fdf11e6ab22e,28,381473315_2421__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161019,18e5b589c40096211a03fdf11e6ab22e,29,162532761_2422__n1,162532768_2499__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,2cf60657d469873be0c59bfbb025831e,28,152427991_2563__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,2cf60657d469873be0c59bfbb025831e,83,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,424b34efd9f07e8b73bf9235b48ff98a,2,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,48f08a78af4a8f9d9f229c0fefaa900e,53,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,4dbe070c0ff179af4b66ced8a5f510e2,6,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,4dbe070c0ff179af4b66ced8a5f510e2,11,335513936_2221__n2,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,752774191e4b224bd12a2ac9206de065,30,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,772a67fefe03757d42518aad57ec8d48,26,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,863b7cf2e019e11906c79a28961b6b9d,19,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,863b7cf2e019e11906c79a28961b6b9d,24,381473315_2421__n0,162542042_2628__n0,False,False,,,,no_directed_path_within_distance_cap
20161019,9fa573eaf1fbc01daf4b501c71804182,22,266583962_9032__n0,267213557_9010__n1,False,False,,,,no_directed_path_within_distance_cap
20161019,abac493d86345398a88644421b6f3bc1,32,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
